蛤蛤蛤我是誰我在哪
community cards of this round: ['H7', 'S4', 'D6', 'DT', 'D5']
name: baseline1, hole_card: ['DJ', 'HA']
name: b10204022, hole_card: ['H4', 'D3']
name: baseline1, hole_card: ['S9', 'S4']
name: b10204022, hole_card: ['H4', 'D3']
community cards of this round: ['D5', 'S9', 'DJ', 'C7', 'HQ']
name: baseline1, hole_card: ['DA', 'SJ']
name: b10204022, hole_card: ['C8', 'HK']
name: baseline1, hole_card: ['DA', 'SJ']
name: b10204022, hole_card: ['C8', 'HK']
community cards of this round: ['SQ', 'C9', 'DJ', 'C2', 'D2']
name: baseline1, hole_card: ['H7', 'S7']
name: b10204022, hole_card: ['CK', 'D4']
name: baseline1, hole_card: ['H7', 'S7']
name: b10204022, hole_card: ['CK', 'D4']
name: baseline1, hole_card: ['H7', 'S7']
name: b10204022, hole_card: ['CK', 'D4']
b10204022 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'jjveiiggkjfpauvermcykf', 'stack': 988.2229142722307, 'state': 'participating'}, {'name': 'b10204022', 'uuid': 'xnxwjaklmusdqgifcsyyte', 'stack': 1011.2229142722306, 'state': 'participating'}]}
蛤蛤蛤我是誰我在哪
community cards of this round: ['H7', 'S4', 'D6', 'DT', 'D5']
name: b10204022, hole_card: ['DJ', 'HA']
name: baseline1, hole_card: ['SQ', 'DK']
name: b10204022, hole_card: ['DJ', 'HA']
name: baseline1, hole_card: ['SQ', 'DK']
name: b10204022, hole_card: ['DJ', 'HA']
name: baseline1, hole_card: ['SQ', 'DK']
name: b10204022, hole_card: ['DJ', 'HA']
name: baseline1, hole_card: ['SQ', 'DK']
name: b10204022, hole_card: ['DJ', 'HA']
name: baseline1, hole_card: ['SQ', 'DK']
name: b10204022, hole_card: ['DJ', 'HA']
name: baseline1, hole_card: ['SQ', 'DK']
name: b10204022, hole_card: ['DJ', 'HA']
name: baseline1, hole_card: ['SQ', 'DK']
name: b10204022, hole_card: ['DJ', 'HA']
name: baseline1, hole_card: ['SQ', 'DK']
name: b10204022, hole_card: ['DJ', 'HA']
name: baseline1, hole_card: ['SQ', 'DK']
b10204022 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10204022', 'uuid': 'wxdvrraymgkgbbggrzlvat', 'stack': 2000, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'nhfzfkaytxheykkithtrmv', 'stack': 0, 'state': 'folded'}]}
蛤蛤蛤我是誰我在哪
community cards of this round: ['CA', 'C7', 'SA', 'DK', 'H7']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10204022, hole_card: ['H8', 'H9']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10204022, hole_card: ['H8', 'H9']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10204022, hole_card: ['H8', 'H9']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10204022, hole_card: ['H8', 'H9']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10204022, hole_card: ['H8', 'H9']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10204022, hole_card: ['H8', 'H9']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10204022, hole_card: ['H8', 'H9']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10204022, hole_card: ['H8', 'H9']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10204022, hole_card: ['H8', 'H9']
community cards of this round: ['ST', 'C7', 'C2', 'C8', 'S6']
name: baseline1, hole_card: ['C3', 'HA']
name: b10204022, hole_card: ['D5', 'S7']
name: baseline1, hole_card: ['C3', 'HA']
name: b10204022, hole_card: ['D5', 'S7']
name: baseline1, hole_card: ['C3', 'HA']
name: b10204022, hole_card: ['D5', 'S7']
name: baseline1, hole_card: ['C3', 'HA']
name: b10204022, hole_card: ['D5', 'S7']
name: baseline1, hole_card: ['C3', 'HA']
name: b10204022, hole_card: ['D5', 'S7']
name: baseline1, hole_card: ['C3', 'HA']
name: b10204022, hole_card: ['D5', 'S7']
name: baseline1, hole_card: ['C3', 'HA']
name: b10204022, hole_card: ['D5', 'S7']
community cards of this round: ['ST', 'C5', 'H5', 'H6', 'SJ']
name: baseline1, hole_card: ['D2', 'D4']
name: b10204022, hole_card: ['DQ', 'DT']
name: baseline1, hole_card: ['D2', 'D4']
name: b10204022, hole_card: ['DQ', 'DT']
community cards of this round: ['S9', 'S3', 'DQ', 'HJ', 'CQ']
name: baseline1, hole_card: ['C2', 'SJ']
name: b10204022, hole_card: ['H3', 'HK']
name: baseline1, hole_card: ['C2', 'SJ']
name: b10204022, hole_card: ['H3', 'HK']
name: baseline1, hole_card: ['C2', 'SJ']
name: b10204022, hole_card: ['H3', 'HK']
community cards of this round: ['H8', 'D7', 'CT', 'C6', 'H9']
name: baseline1, hole_card: ['CJ', 'C5']
name: b10204022, hole_card: ['HQ', 'DJ']
name: baseline1, hole_card: ['CJ', 'C5']
name: b10204022, hole_card: ['HQ', 'DJ']
community cards of this round: ['SQ', 'H2', 'H6', 'D2', 'S4']
name: baseline1, hole_card: ['CA', 'S2']
name: b10204022, hole_card: ['D5', 'H8']
name: baseline1, hole_card: ['CA', 'S2']
name: b10204022, hole_card: ['D5', 'H8']
name: baseline1, hole_card: ['CA', 'S2']
name: b10204022, hole_card: ['D5', 'H8']
community cards of this round: ['H7', 'H8', 'D7', 'H9', 'H2']
name: baseline1, hole_card: ['H3', 'D8']
name: b10204022, hole_card: ['S9', 'C4']
name: baseline1, hole_card: ['H3', 'D8']
name: b10204022, hole_card: ['S9', 'C4']
community cards of this round: ['S4', 'C3', 'SQ', 'D6', 'D3']
name: baseline1, hole_card: ['DJ', 'S7']
name: b10204022, hole_card: ['S6', 'H4']
name: baseline1, hole_card: ['DJ', 'S7']
name: b10204022, hole_card: ['S6', 'H4']
name: baseline1, hole_card: ['DJ', 'S7']
name: b10204022, hole_card: ['S6', 'H4']
community cards of this round: ['D7', 'C5', 'H8', 'SQ', 'CJ']
name: baseline1, hole_card: ['H5', 'DT']
name: b10204022, hole_card: ['H3', 'D8']
name: baseline1, hole_card: ['H5', 'DT']
name: b10204022, hole_card: ['H3', 'D8']
community cards of this round: ['ST', 'C8', 'CA', 'DT', 'D8']
name: baseline1, hole_card: ['H7', 'S7']
name: b10204022, hole_card: ['SQ', 'D2']
name: baseline1, hole_card: ['H7', 'S7']
name: b10204022, hole_card: ['SQ', 'D2']
name: baseline1, hole_card: ['H7', 'S7']
name: b10204022, hole_card: ['SQ', 'D2']
community cards of this round: ['S2', 'S3', 'H8', 'CT', 'DQ']
name: baseline1, hole_card: ['S8', 'DK']
name: b10204022, hole_card: ['SA', 'S5']
name: baseline1, hole_card: ['S8', 'DK']
name: b10204022, hole_card: ['SA', 'S5']
community cards of this round: ['DA', 'C5', 'DQ', 'H8', 'CA']
name: baseline1, hole_card: ['S9', 'CT']
name: b10204022, hole_card: ['SK', 'H9']
name: baseline1, hole_card: ['S9', 'CT']
name: b10204022, hole_card: ['SK', 'H9']
name: baseline1, hole_card: ['S9', 'CT']
name: b10204022, hole_card: ['SK', 'H9']
community cards of this round: ['S8', 'C7', 'SA', 'D3', 'HQ']
name: baseline1, hole_card: ['DK', 'DT']
name: b10204022, hole_card: ['ST', 'CA']
name: baseline1, hole_card: ['DK', 'DT']
name: b10204022, hole_card: ['ST', 'CA']
community cards of this round: ['S5', 'SQ', 'CK', 'C2', 'DA']
name: baseline1, hole_card: ['H9', 'S7']
name: b10204022, hole_card: ['D4', 'DJ']
name: baseline1, hole_card: ['H9', 'S7']
name: b10204022, hole_card: ['D4', 'DJ']
name: baseline1, hole_card: ['H9', 'S7']
name: b10204022, hole_card: ['D4', 'DJ']
community cards of this round: ['CT', 'DA', 'H2', 'C4', 'SK']
name: baseline1, hole_card: ['D9', 'DQ']
name: b10204022, hole_card: ['C3', 'D5']
name: baseline1, hole_card: ['D9', 'DQ']
name: b10204022, hole_card: ['C3', 'D5']
community cards of this round: ['C7', 'CK', 'SA', 'S3', 'H6']
name: baseline1, hole_card: ['H4', 'D3']
name: b10204022, hole_card: ['C8', 'ST']
name: baseline1, hole_card: ['H4', 'D3']
name: b10204022, hole_card: ['C8', 'ST']
name: baseline1, hole_card: ['H4', 'D3']
name: b10204022, hole_card: ['C8', 'ST']
community cards of this round: ['C9', 'CJ', 'CQ', 'D6', 'S4']
name: baseline1, hole_card: ['SQ', 'SK']
name: b10204022, hole_card: ['H6', 'H7']
name: baseline1, hole_card: ['SQ', 'SK']
name: b10204022, hole_card: ['H6', 'H7']
community cards of this round: ['SK', 'D4', 'H5', 'C7', 'D3']
name: baseline1, hole_card: ['S6', 'SJ']
name: b10204022, hole_card: ['S5', 'S8']
name: baseline1, hole_card: ['S6', 'SJ']
name: b10204022, hole_card: ['S5', 'S8']
name: baseline1, hole_card: ['S6', 'SJ']
name: b10204022, hole_card: ['S5', 'S8']
community cards of this round: ['H2', 'ST', 'S2', 'S4', 'S5']
name: baseline1, hole_card: ['C4', 'DJ']
name: b10204022, hole_card: ['S3', 'C2']
name: baseline1, hole_card: ['C4', 'DJ']
name: b10204022, hole_card: ['S3', 'C2']
community cards of this round: ['SJ', 'HT', 'C7', 'S7', 'ST']
name: baseline1, hole_card: ['C6', 'D4']
name: b10204022, hole_card: ['S4', 'H9']
name: baseline1, hole_card: ['C6', 'D4']
name: b10204022, hole_card: ['S4', 'H9']
name: baseline1, hole_card: ['C6', 'D4']
name: b10204022, hole_card: ['S4', 'H9']
b10204022 vs baseline1 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'qyvhhxuoxynmtqinfosnfe', 'stack': 276.0, 'state': 'participating'}, {'name': 'b10204022', 'uuid': 'odhynmgqpgtsrkfcyrvlvt', 'stack': 1723.0, 'state': 'participating'}]}
蛤蛤蛤我是誰我在哪
community cards of this round: ['CA', 'C7', 'SA', 'DK', 'H7']
name: b10204022, hole_card: ['DJ', 'S6']
name: baseline1, hole_card: ['H8', 'H9']
name: b10204022, hole_card: ['DJ', 'S6']
name: baseline1, hole_card: ['H8', 'H9']
name: b10204022, hole_card: ['DJ', 'S6']
name: baseline1, hole_card: ['H8', 'H9']
name: b10204022, hole_card: ['DJ', 'S6']
name: baseline1, hole_card: ['H8', 'H9']
name: b10204022, hole_card: ['DJ', 'S6']
name: baseline1, hole_card: ['H8', 'H9']
name: b10204022, hole_card: ['DJ', 'S6']
name: baseline1, hole_card: ['H8', 'H9']
name: b10204022, hole_card: ['DJ', 'S6']
name: baseline1, hole_card: ['H8', 'H9']
name: b10204022, hole_card: ['DJ', 'S6']
name: baseline1, hole_card: ['H8', 'H9']
name: b10204022, hole_card: ['DJ', 'S6']
name: baseline1, hole_card: ['H8', 'H9']
name: b10204022, hole_card: ['DJ', 'S6']
name: baseline1, hole_card: ['H8', 'H9']
name: b10204022, hole_card: ['DJ', 'S6']
name: baseline1, hole_card: ['H8', 'H9']
community cards of this round: ['ST', 'C7', 'C2', 'C8', 'S6']
name: b10204022, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['D5', 'S7']
name: b10204022, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['D5', 'S7']
name: b10204022, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['D5', 'S7']
name: b10204022, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['D5', 'S7']
name: b10204022, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['D5', 'S7']
name: b10204022, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['D5', 'S7']
name: b10204022, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['D5', 'S7']
name: b10204022, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['D5', 'S7']
name: b10204022, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['D5', 'S7']
community cards of this round: ['ST', 'C5', 'H5', 'H6', 'SJ']
name: b10204022, hole_card: ['D2', 'D4']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10204022, hole_card: ['D2', 'D4']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10204022, hole_card: ['D2', 'D4']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10204022, hole_card: ['D2', 'D4']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10204022, hole_card: ['D2', 'D4']
name: baseline1, hole_card: ['DQ', 'DT']
community cards of this round: ['S9', 'S3', 'DQ', 'HJ', 'CQ']
name: b10204022, hole_card: ['C2', 'SJ']
name: baseline1, hole_card: ['H3', 'HK']
name: b10204022, hole_card: ['C2', 'SJ']
name: baseline1, hole_card: ['H3', 'HK']
name: b10204022, hole_card: ['C2', 'SJ']
name: baseline1, hole_card: ['H3', 'HK']
name: b10204022, hole_card: ['C2', 'SJ']
name: baseline1, hole_card: ['H3', 'HK']
name: b10204022, hole_card: ['C2', 'SJ']
name: baseline1, hole_card: ['H3', 'HK']
name: b10204022, hole_card: ['C2', 'SJ']
name: baseline1, hole_card: ['H3', 'HK']
name: b10204022, hole_card: ['C2', 'SJ']
name: baseline1, hole_card: ['H3', 'HK']
name: b10204022, hole_card: ['C2', 'SJ']
name: baseline1, hole_card: ['H3', 'HK']
name: b10204022, hole_card: ['C2', 'SJ']
name: baseline1, hole_card: ['H3', 'HK']
community cards of this round: ['H8', 'D7', 'CT', 'C6', 'H9']
name: b10204022, hole_card: ['CJ', 'C5']
name: baseline1, hole_card: ['HQ', 'DJ']
name: b10204022, hole_card: ['CJ', 'C5']
name: baseline1, hole_card: ['HQ', 'DJ']
name: b10204022, hole_card: ['CJ', 'C5']
name: baseline1, hole_card: ['HQ', 'DJ']
community cards of this round: ['SQ', 'H2', 'H6', 'D2', 'S4']
name: b10204022, hole_card: ['CA', 'S2']
name: baseline1, hole_card: ['D5', 'H8']
name: b10204022, hole_card: ['CA', 'S2']
name: baseline1, hole_card: ['D5', 'H8']
community cards of this round: ['H7', 'H8', 'D7', 'H9', 'H2']
name: b10204022, hole_card: ['H3', 'D8']
name: baseline1, hole_card: ['S9', 'C4']
name: b10204022, hole_card: ['H3', 'D8']
name: baseline1, hole_card: ['S9', 'C4']
name: b10204022, hole_card: ['H3', 'D8']
name: baseline1, hole_card: ['S9', 'C4']
community cards of this round: ['S4', 'C3', 'SQ', 'D6', 'D3']
name: b10204022, hole_card: ['DJ', 'S7']
name: baseline1, hole_card: ['S6', 'H4']
name: b10204022, hole_card: ['DJ', 'S7']
name: baseline1, hole_card: ['S6', 'H4']
community cards of this round: ['D7', 'C5', 'H8', 'SQ', 'CJ']
name: b10204022, hole_card: ['H5', 'DT']
name: baseline1, hole_card: ['H3', 'D8']
name: b10204022, hole_card: ['H5', 'DT']
name: baseline1, hole_card: ['H3', 'D8']
name: b10204022, hole_card: ['H5', 'DT']
name: baseline1, hole_card: ['H3', 'D8']
community cards of this round: ['ST', 'C8', 'CA', 'DT', 'D8']
name: b10204022, hole_card: ['H7', 'S7']
name: baseline1, hole_card: ['SQ', 'D2']
name: b10204022, hole_card: ['H7', 'S7']
name: baseline1, hole_card: ['SQ', 'D2']
community cards of this round: ['S2', 'S3', 'H8', 'CT', 'DQ']
name: b10204022, hole_card: ['S8', 'DK']
name: baseline1, hole_card: ['SA', 'S5']
name: b10204022, hole_card: ['S8', 'DK']
name: baseline1, hole_card: ['SA', 'S5']
name: b10204022, hole_card: ['S8', 'DK']
name: baseline1, hole_card: ['SA', 'S5']
community cards of this round: ['DA', 'C5', 'DQ', 'H8', 'CA']
name: b10204022, hole_card: ['S9', 'CT']
name: baseline1, hole_card: ['SK', 'H9']
name: b10204022, hole_card: ['S9', 'CT']
name: baseline1, hole_card: ['SK', 'H9']
community cards of this round: ['S8', 'C7', 'SA', 'D3', 'HQ']
name: b10204022, hole_card: ['DK', 'DT']
name: baseline1, hole_card: ['ST', 'CA']
name: b10204022, hole_card: ['DK', 'DT']
name: baseline1, hole_card: ['ST', 'CA']
name: b10204022, hole_card: ['DK', 'DT']
name: baseline1, hole_card: ['ST', 'CA']
community cards of this round: ['S5', 'SQ', 'CK', 'C2', 'DA']
name: b10204022, hole_card: ['H9', 'S7']
name: baseline1, hole_card: ['D4', 'DJ']
name: b10204022, hole_card: ['H9', 'S7']
name: baseline1, hole_card: ['D4', 'DJ']
community cards of this round: ['CT', 'DA', 'H2', 'C4', 'SK']
name: b10204022, hole_card: ['D9', 'DQ']
name: baseline1, hole_card: ['C3', 'D5']
name: b10204022, hole_card: ['D9', 'DQ']
name: baseline1, hole_card: ['C3', 'D5']
name: b10204022, hole_card: ['D9', 'DQ']
name: baseline1, hole_card: ['C3', 'D5']
community cards of this round: ['C7', 'CK', 'SA', 'S3', 'H6']
name: b10204022, hole_card: ['H4', 'D3']
name: baseline1, hole_card: ['C8', 'ST']
name: b10204022, hole_card: ['H4', 'D3']
name: baseline1, hole_card: ['C8', 'ST']
community cards of this round: ['C9', 'CJ', 'CQ', 'D6', 'S4']
name: b10204022, hole_card: ['SQ', 'SK']
name: baseline1, hole_card: ['H6', 'H7']
name: b10204022, hole_card: ['SQ', 'SK']
name: baseline1, hole_card: ['H6', 'H7']
name: b10204022, hole_card: ['SQ', 'SK']
name: baseline1, hole_card: ['H6', 'H7']
community cards of this round: ['SK', 'D4', 'H5', 'C7', 'D3']
name: b10204022, hole_card: ['S6', 'SJ']
name: baseline1, hole_card: ['S5', 'S8']
name: b10204022, hole_card: ['S6', 'SJ']
name: baseline1, hole_card: ['S5', 'S8']
community cards of this round: ['H2', 'ST', 'S2', 'S4', 'S5']
name: b10204022, hole_card: ['C4', 'DJ']
name: baseline1, hole_card: ['S3', 'C2']
name: b10204022, hole_card: ['C4', 'DJ']
name: baseline1, hole_card: ['S3', 'C2']
name: b10204022, hole_card: ['C4', 'DJ']
name: baseline1, hole_card: ['S3', 'C2']
community cards of this round: ['SJ', 'HT', 'C7', 'S7', 'ST']
name: b10204022, hole_card: ['C6', 'D4']
name: baseline1, hole_card: ['S4', 'H9']
name: b10204022, hole_card: ['C6', 'D4']
name: baseline1, hole_card: ['S4', 'H9']
b10204022 vs baseline1 - Game 4: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10204022', 'uuid': 'qwnybqiesnzrrwudrftwkb', 'stack': 1069.7775290089094, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'vnzarqtibtvkkpaqkblcie', 'stack': 928.9360186953738, 'state': 'participating'}]}
蛤蛤蛤我是誰我在哪
community cards of this round: ['CA', 'HQ', 'C8', 'H4', 'S5']
name: baseline1, hole_card: ['DA', 'S8']
name: b10204022, hole_card: ['S3', 'SQ']
name: baseline1, hole_card: ['DA', 'S8']
name: b10204022, hole_card: ['S3', 'SQ']
name: baseline1, hole_card: ['DA', 'S8']
name: b10204022, hole_card: ['S3', 'SQ']
name: baseline1, hole_card: ['DA', 'S8']
name: b10204022, hole_card: ['S3', 'SQ']
name: baseline1, hole_card: ['DA', 'S8']
