community cards of this round: ['HA', 'H3', 'H9', 'D4', 'C6']
name: baseline1, hole_card: ['CT', 'S4']
name: b10202024, hole_card: ['S3', 'CA']
community cards of this round: ['DA', 'HQ', 'S6', 'H8', 'S3']
name: baseline1, hole_card: ['DQ', 'SQ']
name: b10202024, hole_card: ['C5', 'HK']
name: baseline1, hole_card: ['DQ', 'SQ']
name: b10202024, hole_card: ['C5', 'HK']
name: baseline1, hole_card: ['DQ', 'SQ']
name: b10202024, hole_card: ['C5', 'HK']
community cards of this round: ['C2', 'DA', 'HK', 'C6', 'H5']
name: baseline1, hole_card: ['SA', 'DK']
name: b10202024, hole_card: ['S5', 'D3']
name: baseline1, hole_card: ['SA', 'DK']
name: b10202024, hole_card: ['S5', 'D3']
community cards of this round: ['S7', 'D4', 'S9', 'HA', 'CQ']
name: baseline1, hole_card: ['CA', 'H8']
name: b10202024, hole_card: ['DT', 'C2']
name: baseline1, hole_card: ['CA', 'H8']
name: b10202024, hole_card: ['DT', 'C2']
name: baseline1, hole_card: ['CA', 'H8']
name: b10202024, hole_card: ['DT', 'C2']
b10202024 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'jbesqgnctpwxbtkbfmbqis', 'stack': 720.28, 'state': 'participating'}, {'name': 'b10202024', 'uuid': 'scboziijiwearnpnadctne', 'stack': 1278.04, 'state': 'participating'}]}
community cards of this round: ['HA', 'H3', 'H9', 'D4', 'C6']
name: b10202024, hole_card: ['CT', 'S4']
name: baseline1, hole_card: ['DA', 'D6']
name: b10202024, hole_card: ['CT', 'S4']
name: baseline1, hole_card: ['DA', 'D6']
name: b10202024, hole_card: ['CT', 'S4']
name: baseline1, hole_card: ['DA', 'D6']
name: b10202024, hole_card: ['CT', 'S4']
name: baseline1, hole_card: ['DA', 'D6']
name: b10202024, hole_card: ['CT', 'S4']
name: baseline1, hole_card: ['DA', 'D6']
name: b10202024, hole_card: ['CT', 'S4']
name: baseline1, hole_card: ['DA', 'D6']
community cards of this round: ['CA', 'HK', 'H5', 'HJ', 'DJ']
name: b10202024, hole_card: ['H2', 'SK']
name: baseline1, hole_card: ['D7', 'ST']
name: b10202024, hole_card: ['H2', 'SK']
name: baseline1, hole_card: ['D7', 'ST']
name: b10202024, hole_card: ['H2', 'SK']
name: baseline1, hole_card: ['D7', 'ST']
name: b10202024, hole_card: ['H2', 'SK']
name: baseline1, hole_card: ['D7', 'ST']
name: b10202024, hole_card: ['H2', 'SK']
name: baseline1, hole_card: ['D7', 'ST']
community cards of this round: ['S5', 'H7', 'CQ', 'C5', 'C3']
name: b10202024, hole_card: ['H3', 'C6']
name: baseline1, hole_card: ['D9', 'S6']
name: b10202024, hole_card: ['H3', 'C6']
name: baseline1, hole_card: ['D9', 'S6']
name: b10202024, hole_card: ['H3', 'C6']
name: baseline1, hole_card: ['D9', 'S6']
community cards of this round: ['H3', 'C9', 'SQ', 'D7', 'S7']
name: b10202024, hole_card: ['D8', 'C3']
name: baseline1, hole_card: ['HA', 'H5']
name: b10202024, hole_card: ['D8', 'C3']
name: baseline1, hole_card: ['HA', 'H5']
community cards of this round: ['H5', 'H6', 'C2', 'H7', 'S9']
name: b10202024, hole_card: ['CQ', 'DQ']
name: baseline1, hole_card: ['S5', 'DJ']
name: b10202024, hole_card: ['CQ', 'DQ']
name: baseline1, hole_card: ['S5', 'DJ']
name: b10202024, hole_card: ['CQ', 'DQ']
name: baseline1, hole_card: ['S5', 'DJ']
community cards of this round: ['H4', 'D7', 'HT', 'SK', 'HA']
name: b10202024, hole_card: ['C8', 'ST']
name: baseline1, hole_card: ['S3', 'D8']
name: b10202024, hole_card: ['C8', 'ST']
name: baseline1, hole_card: ['S3', 'D8']
community cards of this round: ['HA', 'HQ', 'H8', 'DT', 'S2']
name: b10202024, hole_card: ['S9', 'ST']
name: baseline1, hole_card: ['DK', 'H3']
name: b10202024, hole_card: ['S9', 'ST']
name: baseline1, hole_card: ['DK', 'H3']
name: b10202024, hole_card: ['S9', 'ST']
name: baseline1, hole_card: ['DK', 'H3']
community cards of this round: ['C5', 'C4', 'H2', 'ST', 'SQ']
name: b10202024, hole_card: ['S6', 'H4']
name: baseline1, hole_card: ['S7', 'H7']
name: b10202024, hole_card: ['S6', 'H4']
name: baseline1, hole_card: ['S7', 'H7']
community cards of this round: ['DT', 'D6', 'H5', 'S3', 'CK']
name: b10202024, hole_card: ['D9', 'HJ']
name: baseline1, hole_card: ['S5', 'D3']
name: b10202024, hole_card: ['D9', 'HJ']
name: baseline1, hole_card: ['S5', 'D3']
name: b10202024, hole_card: ['D9', 'HJ']
name: baseline1, hole_card: ['S5', 'D3']
community cards of this round: ['D2', 'S4', 'HJ', 'D6', 'D7']
name: b10202024, hole_card: ['SA', 'H2']
name: baseline1, hole_card: ['S3', 'D8']
name: b10202024, hole_card: ['SA', 'H2']
name: baseline1, hole_card: ['S3', 'D8']
community cards of this round: ['ST', 'H4', 'CT', 'C3', 'SJ']
name: b10202024, hole_card: ['DQ', 'C6']
name: baseline1, hole_card: ['S9', 'DJ']
name: b10202024, hole_card: ['DQ', 'C6']
name: baseline1, hole_card: ['S9', 'DJ']
name: b10202024, hole_card: ['DQ', 'C6']
name: baseline1, hole_card: ['S9', 'DJ']
community cards of this round: ['S5', 'C2', 'CJ', 'HA', 'H6']
name: b10202024, hole_card: ['HQ', 'C6']
name: baseline1, hole_card: ['D8', 'ST']
name: b10202024, hole_card: ['HQ', 'C6']
name: baseline1, hole_card: ['D8', 'ST']
community cards of this round: ['C4', 'CK', 'SJ', 'DJ', 'C5']
name: b10202024, hole_card: ['CJ', 'DQ']
name: baseline1, hole_card: ['HA', 'C9']
name: b10202024, hole_card: ['CJ', 'DQ']
name: baseline1, hole_card: ['HA', 'C9']
name: b10202024, hole_card: ['CJ', 'DQ']
name: baseline1, hole_card: ['HA', 'C9']
community cards of this round: ['H7', 'C7', 'D4', 'S4', 'SJ']
name: b10202024, hole_card: ['CA', 'C5']
name: baseline1, hole_card: ['H5', 'DA']
name: b10202024, hole_card: ['CA', 'C5']
name: baseline1, hole_card: ['H5', 'DA']
community cards of this round: ['CQ', 'SK', 'D3', 'D2', 'C4']
name: b10202024, hole_card: ['D6', 'D5']
name: baseline1, hole_card: ['S7', 'C8']
name: b10202024, hole_card: ['D6', 'D5']
name: baseline1, hole_card: ['S7', 'C8']
name: b10202024, hole_card: ['D6', 'D5']
name: baseline1, hole_card: ['S7', 'C8']
community cards of this round: ['H5', 'D5', 'D9', 'CT', 'S7']
name: b10202024, hole_card: ['S2', 'H6']
name: baseline1, hole_card: ['H2', 'D4']
name: b10202024, hole_card: ['S2', 'H6']
name: baseline1, hole_card: ['H2', 'D4']
community cards of this round: ['HK', 'HQ', 'D5', 'H3', 'C7']
name: b10202024, hole_card: ['H9', 'S7']
name: baseline1, hole_card: ['S3', 'CA']
name: b10202024, hole_card: ['H9', 'S7']
name: baseline1, hole_card: ['S3', 'CA']
name: b10202024, hole_card: ['H9', 'S7']
name: baseline1, hole_card: ['S3', 'CA']
community cards of this round: ['DA', 'HQ', 'S6', 'H8', 'S3']
name: b10202024, hole_card: ['DQ', 'SQ']
name: baseline1, hole_card: ['C5', 'HK']
name: b10202024, hole_card: ['DQ', 'SQ']
name: baseline1, hole_card: ['C5', 'HK']
community cards of this round: ['C2', 'DA', 'HK', 'C6', 'H5']
name: b10202024, hole_card: ['SA', 'DK']
name: baseline1, hole_card: ['S5', 'D3']
name: b10202024, hole_card: ['SA', 'DK']
name: baseline1, hole_card: ['S5', 'D3']
name: b10202024, hole_card: ['SA', 'DK']
name: baseline1, hole_card: ['S5', 'D3']
community cards of this round: ['S7', 'D4', 'S9', 'HA', 'CQ']
name: b10202024, hole_card: ['CA', 'H8']
name: baseline1, hole_card: ['DT', 'C2']
name: b10202024, hole_card: ['CA', 'H8']
name: baseline1, hole_card: ['DT', 'C2']
b10202024 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10202024', 'uuid': 'dtwoiowjcrzzgbpwruewds', 'stack': 1835, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'unpqsbenetmbgfdbaabfni', 'stack': 165, 'state': 'participating'}]}
community cards of this round: ['S5', 'HK', 'H7', 'DT', 'CJ']
name: baseline1, hole_card: ['D3', 'S4']
name: b10202024, hole_card: ['SK', 'HT']
name: baseline1, hole_card: ['D3', 'S4']
name: b10202024, hole_card: ['SK', 'HT']
name: baseline1, hole_card: ['D3', 'S4']
name: b10202024, hole_card: ['SK', 'HT']
name: baseline1, hole_card: ['D3', 'S4']
name: b10202024, hole_card: ['SK', 'HT']
name: baseline1, hole_card: ['D3', 'S4']
name: b10202024, hole_card: ['SK', 'HT']
b10202024 vs baseline1 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'mlapowiuykmkhhfyzmeasf', 'stack': 0, 'state': 'folded'}, {'name': 'b10202024', 'uuid': 'tnuwsktmfhabequowsnwgo', 'stack': 2000, 'state': 'participating'}]}
community cards of this round: ['S5', 'HK', 'H7', 'DT', 'CJ']
name: b10202024, hole_card: ['D3', 'S4']
name: baseline1, hole_card: ['SK', 'HT']
name: b10202024, hole_card: ['D3', 'S4']
name: baseline1, hole_card: ['SK', 'HT']
name: b10202024, hole_card: ['D3', 'S4']
name: baseline1, hole_card: ['SK', 'HT']
name: b10202024, hole_card: ['D3', 'S4']
name: baseline1, hole_card: ['SK', 'HT']
name: b10202024, hole_card: ['D3', 'S4']
name: baseline1, hole_card: ['SK', 'HT']
community cards of this round: ['C6', 'D3', 'S3', 'C9', 'ST']
name: b10202024, hole_card: ['H3', 'CJ']
name: baseline1, hole_card: ['CK', 'H2']
name: b10202024, hole_card: ['H3', 'CJ']
name: baseline1, hole_card: ['CK', 'H2']
name: b10202024, hole_card: ['H3', 'CJ']
name: baseline1, hole_card: ['CK', 'H2']
name: b10202024, hole_card: ['H3', 'CJ']
name: baseline1, hole_card: ['CK', 'H2']
name: b10202024, hole_card: ['H3', 'CJ']
name: baseline1, hole_card: ['CK', 'H2']
community cards of this round: ['S5', 'S2', 'DJ', 'DT', 'S7']
name: b10202024, hole_card: ['HQ', 'S6']
name: baseline1, hole_card: ['SQ', 'C6']
name: b10202024, hole_card: ['HQ', 'S6']
name: baseline1, hole_card: ['SQ', 'C6']
name: b10202024, hole_card: ['HQ', 'S6']
name: baseline1, hole_card: ['SQ', 'C6']
community cards of this round: ['D3', 'C3', 'HQ', 'D2', 'SK']
name: b10202024, hole_card: ['CA', 'H7']
name: baseline1, hole_card: ['H5', 'S5']
name: b10202024, hole_card: ['CA', 'H7']
name: baseline1, hole_card: ['H5', 'S5']
community cards of this round: ['SK', 'D5', 'CA', 'S6', 'S8']
name: b10202024, hole_card: ['SQ', 'S4']
name: baseline1, hole_card: ['H7', 'H6']
name: b10202024, hole_card: ['SQ', 'S4']
name: baseline1, hole_card: ['H7', 'H6']
name: b10202024, hole_card: ['SQ', 'S4']
name: baseline1, hole_card: ['H7', 'H6']
community cards of this round: ['D8', 'H9', 'C2', 'C3', 'S8']
name: b10202024, hole_card: ['DA', 'D9']
name: baseline1, hole_card: ['S3', 'DT']
name: b10202024, hole_card: ['DA', 'D9']
name: baseline1, hole_card: ['S3', 'DT']
community cards of this round: ['S8', 'HA', 'D9', 'HJ', 'D2']
name: b10202024, hole_card: ['S9', 'DJ']
name: baseline1, hole_card: ['SJ', 'DA']
name: b10202024, hole_card: ['S9', 'DJ']
name: baseline1, hole_card: ['SJ', 'DA']
name: b10202024, hole_card: ['S9', 'DJ']
name: baseline1, hole_card: ['SJ', 'DA']
community cards of this round: ['CA', 'C4', 'D2', 'S6', 'C8']
name: b10202024, hole_card: ['C5', 'HJ']
name: baseline1, hole_card: ['SA', 'H6']
name: b10202024, hole_card: ['C5', 'HJ']
name: baseline1, hole_card: ['SA', 'H6']
community cards of this round: ['S2', 'D3', 'S3', 'D9', 'CA']
name: b10202024, hole_card: ['DQ', 'C6']
name: baseline1, hole_card: ['H8', 'HA']
name: b10202024, hole_card: ['DQ', 'C6']
name: baseline1, hole_card: ['H8', 'HA']
name: b10202024, hole_card: ['DQ', 'C6']
name: baseline1, hole_card: ['H8', 'HA']
community cards of this round: ['H9', 'S3', 'SJ', 'D3', 'C7']
name: b10202024, hole_card: ['HJ', 'SA']
name: baseline1, hole_card: ['S9', 'CA']
name: b10202024, hole_card: ['HJ', 'SA']
name: baseline1, hole_card: ['S9', 'CA']
community cards of this round: ['D7', 'H3', 'HA', 'ST', 'S8']
name: b10202024, hole_card: ['C5', 'D8']
name: baseline1, hole_card: ['C9', 'H5']
name: b10202024, hole_card: ['C5', 'D8']
name: baseline1, hole_card: ['C9', 'H5']
name: b10202024, hole_card: ['C5', 'D8']
name: baseline1, hole_card: ['C9', 'H5']
community cards of this round: ['DK', 'CK', 'H4', 'HQ', 'DA']
name: b10202024, hole_card: ['C6', 'HK']
name: baseline1, hole_card: ['HJ', 'CJ']
name: b10202024, hole_card: ['C6', 'HK']
name: baseline1, hole_card: ['HJ', 'CJ']
community cards of this round: ['HQ', 'H7', 'ST', 'D8', 'C3']
name: b10202024, hole_card: ['CJ', 'H2']
name: baseline1, hole_card: ['D4', 'CK']
name: b10202024, hole_card: ['CJ', 'H2']
name: baseline1, hole_card: ['D4', 'CK']
name: b10202024, hole_card: ['CJ', 'H2']
name: baseline1, hole_card: ['D4', 'CK']
community cards of this round: ['C3', 'C4', 'CT', 'H4', 'H5']
name: b10202024, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D3', 'C2']
name: b10202024, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D3', 'C2']
community cards of this round: ['D7', 'H6', 'HA', 'H7', 'DA']
name: b10202024, hole_card: ['C2', 'C4']
name: baseline1, hole_card: ['HQ', 'D4']
name: b10202024, hole_card: ['C2', 'C4']
name: baseline1, hole_card: ['HQ', 'D4']
name: b10202024, hole_card: ['C2', 'C4']
name: baseline1, hole_card: ['HQ', 'D4']
community cards of this round: ['HJ', 'H3', 'SJ', 'HK', 'CJ']
name: b10202024, hole_card: ['D6', 'ST']
name: baseline1, hole_card: ['D4', 'S2']
name: b10202024, hole_card: ['D6', 'ST']
name: baseline1, hole_card: ['D4', 'S2']
community cards of this round: ['HA', 'S3', 'H6', 'HK', 'S2']
name: b10202024, hole_card: ['H8', 'C3']
name: baseline1, hole_card: ['C8', 'H2']
name: b10202024, hole_card: ['H8', 'C3']
name: baseline1, hole_card: ['C8', 'H2']
name: b10202024, hole_card: ['H8', 'C3']
name: baseline1, hole_card: ['C8', 'H2']
community cards of this round: ['CJ', 'SK', 'S6', 'H8', 'SQ']
name: b10202024, hole_card: ['SJ', 'H9']
name: baseline1, hole_card: ['D7', 'C7']
name: b10202024, hole_card: ['SJ', 'H9']
name: baseline1, hole_card: ['D7', 'C7']
community cards of this round: ['H8', 'S4', 'D4', 'SJ', 'S6']
name: b10202024, hole_card: ['D9', 'D6']
name: baseline1, hole_card: ['ST', 'HJ']
name: b10202024, hole_card: ['D9', 'D6']
name: baseline1, hole_card: ['ST', 'HJ']
name: b10202024, hole_card: ['D9', 'D6']
name: baseline1, hole_card: ['ST', 'HJ']
community cards of this round: ['S8', 'HK', 'D9', 'H2', 'DQ']
name: b10202024, hole_card: ['S6', 'S9']
name: baseline1, hole_card: ['C3', 'ST']
name: b10202024, hole_card: ['S6', 'S9']
name: baseline1, hole_card: ['C3', 'ST']
b10202024 vs baseline1 - Game 4: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10202024', 'uuid': 'rqtugwgcyowwemhhrnwhax', 'stack': 1845, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'kxmhonnkdgvwpbioplwcld', 'stack': 154.25, 'state': 'participating'}]}
community cards of this round: ['S3', 'D7', 'C4', 'SJ', 'DQ']
name: baseline1, hole_card: ['CQ', 'H9']
name: b10202024, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['CQ', 'H9']
name: b10202024, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['CQ', 'H9']
name: b10202024, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['CQ', 'H9']
name: b10202024, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['CQ', 'H9']
name: b10202024, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['CQ', 'H9']
name: b10202024, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['CQ', 'H9']
name: b10202024, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['CQ', 'H9']
name: b10202024, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['CQ', 'H9']
name: b10202024, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['CQ', 'H9']
name: b10202024, hole_card: ['H3', 'H8']
community cards of this round: ['SJ', 'H7', 'D3', 'D5', 'DJ']
name: baseline1, hole_card: ['C9', 'SA']
name: b10202024, hole_card: ['S9', 'H2']
name: baseline1, hole_card: ['C9', 'SA']
name: b10202024, hole_card: ['S9', 'H2']
name: baseline1, hole_card: ['C9', 'SA']
name: b10202024, hole_card: ['S9', 'H2']
name: baseline1, hole_card: ['C9', 'SA']
name: b10202024, hole_card: ['S9', 'H2']
name: baseline1, hole_card: ['C9', 'SA']
name: b10202024, hole_card: ['S9', 'H2']
community cards of this round: ['H2', 'SK', 'C7', 'DJ', 'C6']
name: baseline1, hole_card: ['CQ', 'D4']
name: b10202024, hole_card: ['C3', 'D6']
name: baseline1, hole_card: ['CQ', 'D4']
name: b10202024, hole_card: ['C3', 'D6']
name: baseline1, hole_card: ['CQ', 'D4']
name: b10202024, hole_card: ['C3', 'D6']
name: baseline1, hole_card: ['CQ', 'D4']
name: b10202024, hole_card: ['C3', 'D6']
community cards of this round: ['S8', 'HT', 'CQ', 'S3', 'C5']
name: baseline1, hole_card: ['H5', 'SJ']
name: b10202024, hole_card: ['H9', 'C4']
