community cards of this round: ['S7', 'C4', 'C7', 'H6', 'HA']
name: baseline1, hole_card: ['H8', 'D6']
community cards of this round: ['C3', 'S7', 'CK', 'H4', 'SK']
name: baseline1, hole_card: ['ST', 'C5']
name: b10505044, hole_card: ['S3', 'C7']
name: baseline1, hole_card: ['ST', 'C5']
name: b10505044, hole_card: ['S3', 'C7']
name: baseline1, hole_card: ['ST', 'C5']
name: b10505044, hole_card: ['S3', 'C7']
name: baseline1, hole_card: ['ST', 'C5']
name: b10505044, hole_card: ['S3', 'C7']
name: baseline1, hole_card: ['ST', 'C5']
name: b10505044, hole_card: ['S3', 'C7']
name: baseline1, hole_card: ['ST', 'C5']
name: b10505044, hole_card: ['S3', 'C7']
name: baseline1, hole_card: ['ST', 'C5']
name: b10505044, hole_card: ['S3', 'C7']
name: baseline1, hole_card: ['ST', 'C5']
name: b10505044, hole_card: ['S3', 'C7']
name: baseline1, hole_card: ['ST', 'C5']
name: b10505044, hole_card: ['S3', 'C7']
name: baseline1, hole_card: ['ST', 'C5']
name: b10505044, hole_card: ['S3', 'C7']
community cards of this round: ['HK', 'S6', 'S4', 'C2', 'S3']
name: baseline1, hole_card: ['H9', 'C8']
name: b10505044, hole_card: ['H7', 'S8']
name: baseline1, hole_card: ['H9', 'C8']
name: b10505044, hole_card: ['H7', 'S8']
name: baseline1, hole_card: ['H9', 'C8']
name: b10505044, hole_card: ['H7', 'S8']
name: baseline1, hole_card: ['H9', 'C8']
name: b10505044, hole_card: ['H7', 'S8']
community cards of this round: ['SJ', 'H9', 'H8', 'C3', 'HJ']
name: baseline1, hole_card: ['C8', 'ST']
name: b10505044, hole_card: ['H2', 'CA']
name: baseline1, hole_card: ['C8', 'ST']
name: b10505044, hole_card: ['H2', 'CA']
name: baseline1, hole_card: ['C8', 'ST']
name: b10505044, hole_card: ['H2', 'CA']
name: baseline1, hole_card: ['C8', 'ST']
name: b10505044, hole_card: ['H2', 'CA']
name: baseline1, hole_card: ['C8', 'ST']
name: b10505044, hole_card: ['H2', 'CA']
community cards of this round: ['SQ', 'DQ', 'S3', 'C8', 'D7']
name: baseline1, hole_card: ['HT', 'DA']
name: b10505044, hole_card: ['C5', 'DK']
name: baseline1, hole_card: ['HT', 'DA']
name: b10505044, hole_card: ['C5', 'DK']
name: baseline1, hole_card: ['HT', 'DA']
name: b10505044, hole_card: ['C5', 'DK']
name: baseline1, hole_card: ['HT', 'DA']
name: b10505044, hole_card: ['C5', 'DK']
name: baseline1, hole_card: ['HT', 'DA']
name: b10505044, hole_card: ['C5', 'DK']
name: baseline1, hole_card: ['HT', 'DA']
name: b10505044, hole_card: ['C5', 'DK']
name: baseline1, hole_card: ['HT', 'DA']
name: b10505044, hole_card: ['C5', 'DK']
name: baseline1, hole_card: ['HT', 'DA']
name: b10505044, hole_card: ['C5', 'DK']
community cards of this round: ['CK', 'D2', 'C7', 'SK', 'HJ']
name: baseline1, hole_card: ['HA', 'S3']
name: b10505044, hole_card: ['S8', 'CJ']
name: baseline1, hole_card: ['HA', 'S3']
name: b10505044, hole_card: ['S8', 'CJ']
name: baseline1, hole_card: ['HA', 'S3']
name: b10505044, hole_card: ['S8', 'CJ']
name: baseline1, hole_card: ['HA', 'S3']
name: b10505044, hole_card: ['S8', 'CJ']
name: baseline1, hole_card: ['HA', 'S3']
name: b10505044, hole_card: ['S8', 'CJ']
community cards of this round: ['H8', 'HQ', 'S9', 'CK', 'H4']
name: baseline1, hole_card: ['D6', 'ST']
name: b10505044, hole_card: ['DT', 'SA']
name: baseline1, hole_card: ['D6', 'ST']
name: b10505044, hole_card: ['DT', 'SA']
name: baseline1, hole_card: ['D6', 'ST']
name: b10505044, hole_card: ['DT', 'SA']
name: baseline1, hole_card: ['D6', 'ST']
name: b10505044, hole_card: ['DT', 'SA']
name: baseline1, hole_card: ['D6', 'ST']
name: b10505044, hole_card: ['DT', 'SA']
name: baseline1, hole_card: ['D6', 'ST']
name: b10505044, hole_card: ['DT', 'SA']
name: baseline1, hole_card: ['D6', 'ST']
name: b10505044, hole_card: ['DT', 'SA']
name: baseline1, hole_card: ['D6', 'ST']
name: b10505044, hole_card: ['DT', 'SA']
community cards of this round: ['H4', 'H5', 'S3', 'HT', 'C5']
name: baseline1, hole_card: ['DQ', 'DJ']
name: b10505044, hole_card: ['C6', 'D8']
name: baseline1, hole_card: ['DQ', 'DJ']
name: b10505044, hole_card: ['C6', 'D8']
name: baseline1, hole_card: ['DQ', 'DJ']
name: b10505044, hole_card: ['C6', 'D8']
name: baseline1, hole_card: ['DQ', 'DJ']
name: b10505044, hole_card: ['C6', 'D8']
name: baseline1, hole_card: ['DQ', 'DJ']
name: b10505044, hole_card: ['C6', 'D8']
name: baseline1, hole_card: ['DQ', 'DJ']
name: b10505044, hole_card: ['C6', 'D8']
name: baseline1, hole_card: ['DQ', 'DJ']
name: b10505044, hole_card: ['C6', 'D8']
community cards of this round: ['HT', 'SJ', 'H8', 'H6', 'H2']
name: baseline1, hole_card: ['CK', 'H5']
name: b10505044, hole_card: ['D2', 'S5']
name: baseline1, hole_card: ['CK', 'H5']
name: b10505044, hole_card: ['D2', 'S5']
community cards of this round: ['SJ', 'S7', 'HA', 'D7', 'DA']
name: baseline1, hole_card: ['D5', 'SQ']
name: b10505044, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['D5', 'SQ']
name: b10505044, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['D5', 'SQ']
name: b10505044, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['D5', 'SQ']
name: b10505044, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['D5', 'SQ']
name: b10505044, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['D5', 'SQ']
name: b10505044, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['D5', 'SQ']
name: b10505044, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['D5', 'SQ']
name: b10505044, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['D5', 'SQ']
name: b10505044, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['D5', 'SQ']
name: b10505044, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['D5', 'SQ']
name: b10505044, hole_card: ['S5', 'HJ']
community cards of this round: ['H8', 'H3', 'C8', 'DK', 'H9']
name: baseline1, hole_card: ['H7', 'H6']
name: b10505044, hole_card: ['ST', 'SA']
name: baseline1, hole_card: ['H7', 'H6']
name: b10505044, hole_card: ['ST', 'SA']
name: baseline1, hole_card: ['H7', 'H6']
name: b10505044, hole_card: ['ST', 'SA']
name: baseline1, hole_card: ['H7', 'H6']
name: b10505044, hole_card: ['ST', 'SA']
name: baseline1, hole_card: ['H7', 'H6']
name: b10505044, hole_card: ['ST', 'SA']
name: baseline1, hole_card: ['H7', 'H6']
name: b10505044, hole_card: ['ST', 'SA']
name: baseline1, hole_card: ['H7', 'H6']
name: b10505044, hole_card: ['ST', 'SA']
name: baseline1, hole_card: ['H7', 'H6']
name: b10505044, hole_card: ['ST', 'SA']
name: baseline1, hole_card: ['H7', 'H6']
name: b10505044, hole_card: ['ST', 'SA']
name: baseline1, hole_card: ['H7', 'H6']
name: b10505044, hole_card: ['ST', 'SA']
community cards of this round: ['H4', 'S6', 'S5', 'DJ', 'H3']
name: baseline1, hole_card: ['ST', 'C3']
name: b10505044, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['ST', 'C3']
name: b10505044, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['ST', 'C3']
name: b10505044, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['ST', 'C3']
name: b10505044, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['ST', 'C3']
name: b10505044, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['ST', 'C3']
name: b10505044, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['ST', 'C3']
name: b10505044, hole_card: ['CQ', 'SA']
b10505044 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'owqvhuejhwkxxrurfjqiuf', 'stack': 1971.3125, 'state': 'participating'}, {'name': 'b10505044', 'uuid': 'cntbhdqnfernrcjxornvbg', 'stack': 26.4375, 'state': 'participating'}]}
community cards of this round: ['S7', 'C4', 'C7', 'H6', 'HA']
name: b10505044, hole_card: ['H8', 'D6']
name: baseline1, hole_card: ['SQ', 'CT']
name: b10505044, hole_card: ['H8', 'D6']
name: baseline1, hole_card: ['SQ', 'CT']
name: b10505044, hole_card: ['H8', 'D6']
name: baseline1, hole_card: ['SQ', 'CT']
name: b10505044, hole_card: ['H8', 'D6']
name: baseline1, hole_card: ['SQ', 'CT']
name: b10505044, hole_card: ['H8', 'D6']
name: baseline1, hole_card: ['SQ', 'CT']
name: b10505044, hole_card: ['H8', 'D6']
name: baseline1, hole_card: ['SQ', 'CT']
name: b10505044, hole_card: ['H8', 'D6']
name: baseline1, hole_card: ['SQ', 'CT']
name: b10505044, hole_card: ['H8', 'D6']
name: baseline1, hole_card: ['SQ', 'CT']
name: b10505044, hole_card: ['H8', 'D6']
name: baseline1, hole_card: ['SQ', 'CT']
name: b10505044, hole_card: ['H8', 'D6']
name: baseline1, hole_card: ['SQ', 'CT']
community cards of this round: ['C2', 'HK', 'D6', 'S3', 'C7']
name: b10505044, hole_card: ['CA', 'DK']
name: baseline1, hole_card: ['SQ', 'ST']
name: b10505044, hole_card: ['CA', 'DK']
name: baseline1, hole_card: ['SQ', 'ST']
name: b10505044, hole_card: ['CA', 'DK']
name: baseline1, hole_card: ['SQ', 'ST']
name: b10505044, hole_card: ['CA', 'DK']
name: baseline1, hole_card: ['SQ', 'ST']
name: b10505044, hole_card: ['CA', 'DK']
name: baseline1, hole_card: ['SQ', 'ST']
name: b10505044, hole_card: ['CA', 'DK']
name: baseline1, hole_card: ['SQ', 'ST']
name: b10505044, hole_card: ['CA', 'DK']
name: baseline1, hole_card: ['SQ', 'ST']
name: b10505044, hole_card: ['CA', 'DK']
name: baseline1, hole_card: ['SQ', 'ST']
name: b10505044, hole_card: ['CA', 'DK']
name: baseline1, hole_card: ['SQ', 'ST']
community cards of this round: ['D6', 'CT', 'HK', 'SJ', 'C2']
name: b10505044, hole_card: ['D3', 'HA']
name: baseline1, hole_card: ['C9', 'S6']
name: b10505044, hole_card: ['D3', 'HA']
name: baseline1, hole_card: ['C9', 'S6']
name: b10505044, hole_card: ['D3', 'HA']
name: baseline1, hole_card: ['C9', 'S6']
name: b10505044, hole_card: ['D3', 'HA']
name: baseline1, hole_card: ['C9', 'S6']
name: b10505044, hole_card: ['D3', 'HA']
name: baseline1, hole_card: ['C9', 'S6']
name: b10505044, hole_card: ['D3', 'HA']
name: baseline1, hole_card: ['C9', 'S6']
name: b10505044, hole_card: ['D3', 'HA']
name: baseline1, hole_card: ['C9', 'S6']
name: b10505044, hole_card: ['D3', 'HA']
name: baseline1, hole_card: ['C9', 'S6']
name: b10505044, hole_card: ['D3', 'HA']
name: baseline1, hole_card: ['C9', 'S6']
name: b10505044, hole_card: ['D3', 'HA']
name: baseline1, hole_card: ['C9', 'S6']
community cards of this round: ['HT', 'HK', 'DQ', 'HJ', 'S2']
name: b10505044, hole_card: ['D6', 'HA']
name: baseline1, hole_card: ['C2', 'C5']
name: b10505044, hole_card: ['D6', 'HA']
name: baseline1, hole_card: ['C2', 'C5']
name: b10505044, hole_card: ['D6', 'HA']
name: baseline1, hole_card: ['C2', 'C5']
name: b10505044, hole_card: ['D6', 'HA']
name: baseline1, hole_card: ['C2', 'C5']
name: b10505044, hole_card: ['D6', 'HA']
name: baseline1, hole_card: ['C2', 'C5']
community cards of this round: ['DA', 'H7', 'D5', 'D6', 'SA']
name: b10505044, hole_card: ['S8', 'DT']
name: baseline1, hole_card: ['DJ', 'SQ']
name: b10505044, hole_card: ['S8', 'DT']
name: baseline1, hole_card: ['DJ', 'SQ']
name: b10505044, hole_card: ['S8', 'DT']
name: baseline1, hole_card: ['DJ', 'SQ']
name: b10505044, hole_card: ['S8', 'DT']
name: baseline1, hole_card: ['DJ', 'SQ']
name: b10505044, hole_card: ['S8', 'DT']
name: baseline1, hole_card: ['DJ', 'SQ']
community cards of this round: ['CT', 'D7', 'HJ', 'DK', 'HT']
name: b10505044, hole_card: ['S3', 'H7']
name: baseline1, hole_card: ['S8', 'C9']
name: b10505044, hole_card: ['S3', 'H7']
name: baseline1, hole_card: ['S8', 'C9']
community cards of this round: ['CJ', 'C4', 'C6', 'D3', 'CT']
name: b10505044, hole_card: ['C5', 'C7']
name: baseline1, hole_card: ['S7', 'H3']
name: b10505044, hole_card: ['C5', 'C7']
name: baseline1, hole_card: ['S7', 'H3']
name: b10505044, hole_card: ['C5', 'C7']
name: baseline1, hole_card: ['S7', 'H3']
name: b10505044, hole_card: ['C5', 'C7']
name: baseline1, hole_card: ['S7', 'H3']
name: b10505044, hole_card: ['C5', 'C7']
name: baseline1, hole_card: ['S7', 'H3']
name: b10505044, hole_card: ['C5', 'C7']
name: baseline1, hole_card: ['S7', 'H3']
community cards of this round: ['H9', 'C2', 'H4', 'ST', 'D4']
name: b10505044, hole_card: ['HA', 'DA']
name: baseline1, hole_card: ['DT', 'D3']
name: b10505044, hole_card: ['HA', 'DA']
name: baseline1, hole_card: ['DT', 'D3']
name: b10505044, hole_card: ['HA', 'DA']
name: baseline1, hole_card: ['DT', 'D3']
name: b10505044, hole_card: ['HA', 'DA']
name: baseline1, hole_card: ['DT', 'D3']
name: b10505044, hole_card: ['HA', 'DA']
name: baseline1, hole_card: ['DT', 'D3']
community cards of this round: ['C4', 'HA', 'D2', 'S3', 'CJ']
name: b10505044, hole_card: ['DQ', 'C2']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505044, hole_card: ['DQ', 'C2']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505044, hole_card: ['DQ', 'C2']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505044, hole_card: ['DQ', 'C2']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505044, hole_card: ['DQ', 'C2']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505044, hole_card: ['DQ', 'C2']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505044, hole_card: ['DQ', 'C2']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505044, hole_card: ['DQ', 'C2']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505044, hole_card: ['DQ', 'C2']
name: baseline1, hole_card: ['C7', 'SJ']
community cards of this round: ['C3', 'S7', 'CK', 'H4', 'SK']
name: b10505044, hole_card: ['ST', 'C5']
name: baseline1, hole_card: ['S3', 'C7']
name: b10505044, hole_card: ['ST', 'C5']
name: baseline1, hole_card: ['S3', 'C7']
name: b10505044, hole_card: ['ST', 'C5']
name: baseline1, hole_card: ['S3', 'C7']
name: b10505044, hole_card: ['ST', 'C5']
name: baseline1, hole_card: ['S3', 'C7']
community cards of this round: ['HK', 'S6', 'S4', 'C2', 'S3']
name: b10505044, hole_card: ['H9', 'C8']
name: baseline1, hole_card: ['H7', 'S8']
name: b10505044, hole_card: ['H9', 'C8']
name: baseline1, hole_card: ['H7', 'S8']
name: b10505044, hole_card: ['H9', 'C8']
name: baseline1, hole_card: ['H7', 'S8']
name: b10505044, hole_card: ['H9', 'C8']
name: baseline1, hole_card: ['H7', 'S8']
name: b10505044, hole_card: ['H9', 'C8']
name: baseline1, hole_card: ['H7', 'S8']
community cards of this round: ['SJ', 'H9', 'H8', 'C3', 'HJ']
name: b10505044, hole_card: ['C8', 'ST']
name: baseline1, hole_card: ['H2', 'CA']
name: b10505044, hole_card: ['C8', 'ST']
name: baseline1, hole_card: ['H2', 'CA']
name: b10505044, hole_card: ['C8', 'ST']
name: baseline1, hole_card: ['H2', 'CA']
name: b10505044, hole_card: ['C8', 'ST']
name: baseline1, hole_card: ['H2', 'CA']
name: b10505044, hole_card: ['C8', 'ST']
name: baseline1, hole_card: ['H2', 'CA']
name: b10505044, hole_card: ['C8', 'ST']
name: baseline1, hole_card: ['H2', 'CA']
name: b10505044, hole_card: ['C8', 'ST']
name: baseline1, hole_card: ['H2', 'CA']
name: b10505044, hole_card: ['C8', 'ST']
name: baseline1, hole_card: ['H2', 'CA']
name: b10505044, hole_card: ['C8', 'ST']
name: baseline1, hole_card: ['H2', 'CA']
community cards of this round: ['SQ', 'DQ', 'S3', 'C8', 'D7']
name: b10505044, hole_card: ['HT', 'DA']
name: baseline1, hole_card: ['C5', 'DK']
name: b10505044, hole_card: ['HT', 'DA']
name: baseline1, hole_card: ['C5', 'DK']
name: b10505044, hole_card: ['HT', 'DA']
name: baseline1, hole_card: ['C5', 'DK']
name: b10505044, hole_card: ['HT', 'DA']
name: baseline1, hole_card: ['C5', 'DK']
name: b10505044, hole_card: ['HT', 'DA']
name: baseline1, hole_card: ['C5', 'DK']
name: b10505044, hole_card: ['HT', 'DA']
name: baseline1, hole_card: ['C5', 'DK']
name: b10505044, hole_card: ['HT', 'DA']
name: baseline1, hole_card: ['C5', 'DK']
name: b10505044, hole_card: ['HT', 'DA']
name: baseline1, hole_card: ['C5', 'DK']
name: b10505044, hole_card: ['HT', 'DA']
name: baseline1, hole_card: ['C5', 'DK']
community cards of this round: ['CK', 'D2', 'C7', 'SK', 'HJ']
name: b10505044, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['S8', 'CJ']
name: b10505044, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['S8', 'CJ']
name: b10505044, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['S8', 'CJ']
name: b10505044, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['S8', 'CJ']
name: b10505044, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['S8', 'CJ']
name: b10505044, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['S8', 'CJ']
name: b10505044, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['S8', 'CJ']
name: b10505044, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['S8', 'CJ']
name: b10505044, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['S8', 'CJ']
name: b10505044, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['S8', 'CJ']
community cards of this round: ['H8', 'HQ', 'S9', 'CK', 'H4']
name: b10505044, hole_card: ['D6', 'ST']
name: baseline1, hole_card: ['DT', 'SA']
name: b10505044, hole_card: ['D6', 'ST']
name: baseline1, hole_card: ['DT', 'SA']
name: b10505044, hole_card: ['D6', 'ST']
name: baseline1, hole_card: ['DT', 'SA']
name: b10505044, hole_card: ['D6', 'ST']
name: baseline1, hole_card: ['DT', 'SA']
name: b10505044, hole_card: ['D6', 'ST']
name: baseline1, hole_card: ['DT', 'SA']
name: b10505044, hole_card: ['D6', 'ST']
name: baseline1, hole_card: ['DT', 'SA']
name: b10505044, hole_card: ['D6', 'ST']
name: baseline1, hole_card: ['DT', 'SA']
community cards of this round: ['H4', 'H5', 'S3', 'HT', 'C5']
name: b10505044, hole_card: ['DQ', 'DJ']
name: baseline1, hole_card: ['C6', 'D8']
name: b10505044, hole_card: ['DQ', 'DJ']
name: baseline1, hole_card: ['C6', 'D8']
name: b10505044, hole_card: ['DQ', 'DJ']
name: baseline1, hole_card: ['C6', 'D8']
name: b10505044, hole_card: ['DQ', 'DJ']
name: baseline1, hole_card: ['C6', 'D8']
community cards of this round: ['HT', 'SJ', 'H8', 'H6', 'H2']
name: b10505044, hole_card: ['CK', 'H5']
name: baseline1, hole_card: ['D2', 'S5']
name: b10505044, hole_card: ['CK', 'H5']
name: baseline1, hole_card: ['D2', 'S5']
name: b10505044, hole_card: ['CK', 'H5']
name: baseline1, hole_card: ['D2', 'S5']
name: b10505044, hole_card: ['CK', 'H5']
name: baseline1, hole_card: ['D2', 'S5']
community cards of this round: ['SJ', 'S7', 'HA', 'D7', 'DA']
name: b10505044, hole_card: ['D5', 'SQ']
name: baseline1, hole_card: ['S5', 'HJ']
name: b10505044, hole_card: ['D5', 'SQ']
name: baseline1, hole_card: ['S5', 'HJ']
name: b10505044, hole_card: ['D5', 'SQ']
name: baseline1, hole_card: ['S5', 'HJ']
name: b10505044, hole_card: ['D5', 'SQ']
name: baseline1, hole_card: ['S5', 'HJ']
name: b10505044, hole_card: ['D5', 'SQ']
name: baseline1, hole_card: ['S5', 'HJ']
name: b10505044, hole_card: ['D5', 'SQ']
name: baseline1, hole_card: ['S5', 'HJ']
name: b10505044, hole_card: ['D5', 'SQ']
name: baseline1, hole_card: ['S5', 'HJ']
name: b10505044, hole_card: ['D5', 'SQ']
name: baseline1, hole_card: ['S5', 'HJ']
name: b10505044, hole_card: ['D5', 'SQ']
name: baseline1, hole_card: ['S5', 'HJ']
community cards of this round: ['H8', 'H3', 'C8', 'DK', 'H9']
name: b10505044, hole_card: ['H7', 'H6']
name: baseline1, hole_card: ['ST', 'SA']
name: b10505044, hole_card: ['H7', 'H6']
name: baseline1, hole_card: ['ST', 'SA']
name: b10505044, hole_card: ['H7', 'H6']
name: baseline1, hole_card: ['ST', 'SA']
name: b10505044, hole_card: ['H7', 'H6']
name: baseline1, hole_card: ['ST', 'SA']
name: b10505044, hole_card: ['H7', 'H6']
name: baseline1, hole_card: ['ST', 'SA']
name: b10505044, hole_card: ['H7', 'H6']
name: baseline1, hole_card: ['ST', 'SA']
