community cards of this round: ['HJ', 'DA', 'SQ', 'DJ', 'C7']
name: baseline1, hole_card: ['H5', 'C5']
name: baseline1, hole_card: ['S7', 'SK']
name: b10505057, hole_card: ['DT', 'CA']
name: baseline1, hole_card: ['S7', 'SK']
name: b10505057, hole_card: ['DT', 'CA']
community cards of this round: ['CA', 'H5', 'D4', 'C7', 'S4']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10505057, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10505057, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10505057, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10505057, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10505057, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10505057, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10505057, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10505057, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10505057, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10505057, hole_card: ['HT', 'SK']
community cards of this round: ['HA', 'C4', 'HJ', 'H9', 'D6']
name: baseline1, hole_card: ['D2', 'DA']
name: b10505057, hole_card: ['CQ', 'S9']
name: baseline1, hole_card: ['D2', 'DA']
name: b10505057, hole_card: ['CQ', 'S9']
name: baseline1, hole_card: ['D2', 'DA']
name: b10505057, hole_card: ['CQ', 'S9']
name: baseline1, hole_card: ['D2', 'DA']
name: b10505057, hole_card: ['CQ', 'S9']
name: baseline1, hole_card: ['D2', 'DA']
name: b10505057, hole_card: ['CQ', 'S9']
name: baseline1, hole_card: ['D2', 'DA']
name: b10505057, hole_card: ['CQ', 'S9']
name: baseline1, hole_card: ['D2', 'DA']
name: b10505057, hole_card: ['CQ', 'S9']
name: baseline1, hole_card: ['D2', 'DA']
name: b10505057, hole_card: ['CQ', 'S9']
name: baseline1, hole_card: ['D2', 'DA']
name: b10505057, hole_card: ['CQ', 'S9']
community cards of this round: ['D5', 'H9', 'CT', 'C4', 'DT']
name: baseline1, hole_card: ['DQ', 'C5']
name: b10505057, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['DQ', 'C5']
name: b10505057, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['DQ', 'C5']
name: b10505057, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['DQ', 'C5']
name: b10505057, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['DQ', 'C5']
name: b10505057, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['DQ', 'C5']
name: b10505057, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['DQ', 'C5']
name: b10505057, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['DQ', 'C5']
name: b10505057, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['DQ', 'C5']
name: b10505057, hole_card: ['S2', 'DK']
community cards of this round: ['S5', 'H3', 'D8', 'DT', 'CA']
name: baseline1, hole_card: ['DA', 'CJ']
name: b10505057, hole_card: ['D4', 'H9']
name: baseline1, hole_card: ['DA', 'CJ']
name: b10505057, hole_card: ['D4', 'H9']
community cards of this round: ['D9', 'C2', 'DJ', 'H9', 'S2']
name: baseline1, hole_card: ['SA', 'HJ']
name: b10505057, hole_card: ['CA', 'H5']
name: baseline1, hole_card: ['SA', 'HJ']
name: b10505057, hole_card: ['CA', 'H5']
name: baseline1, hole_card: ['SA', 'HJ']
name: b10505057, hole_card: ['CA', 'H5']
name: baseline1, hole_card: ['SA', 'HJ']
name: b10505057, hole_card: ['CA', 'H5']
name: baseline1, hole_card: ['SA', 'HJ']
name: b10505057, hole_card: ['CA', 'H5']
name: baseline1, hole_card: ['SA', 'HJ']
name: b10505057, hole_card: ['CA', 'H5']
name: baseline1, hole_card: ['SA', 'HJ']
name: b10505057, hole_card: ['CA', 'H5']
b10505057 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'dpwtdcfvzvyhvooblmnjpl', 'stack': 1995.477215948185, 'state': 'participating'}, {'name': 'b10505057', 'uuid': 'spuvypwzddbfpgzrjouaux', 'stack': 0, 'state': 'folded'}]}
community cards of this round: ['HJ', 'DA', 'SQ', 'DJ', 'C7']
name: b10505057, hole_card: ['H5', 'C5']
name: baseline1, hole_card: ['D3', 'S7']
name: b10505057, hole_card: ['H5', 'C5']
name: baseline1, hole_card: ['D3', 'S7']
name: b10505057, hole_card: ['H5', 'C5']
name: baseline1, hole_card: ['D3', 'S7']
name: b10505057, hole_card: ['H5', 'C5']
name: baseline1, hole_card: ['D3', 'S7']
name: b10505057, hole_card: ['H5', 'C5']
name: baseline1, hole_card: ['D3', 'S7']
community cards of this round: ['H4', 'C3', 'CJ', 'D3', 'C9']
name: b10505057, hole_card: ['CK', 'CA']
name: baseline1, hole_card: ['HQ', 'D6']
name: b10505057, hole_card: ['CK', 'CA']
name: baseline1, hole_card: ['HQ', 'D6']
community cards of this round: ['C9', 'H9', 'C6', 'H3', 'C4']
name: b10505057, hole_card: ['D9', 'HA']
name: baseline1, hole_card: ['DQ', 'C8']
name: b10505057, hole_card: ['D9', 'HA']
name: baseline1, hole_card: ['DQ', 'C8']
name: b10505057, hole_card: ['D9', 'HA']
name: baseline1, hole_card: ['DQ', 'C8']
community cards of this round: ['H4', 'SJ', 'C6', 'CJ', 'DJ']
name: b10505057, hole_card: ['D2', 'C4']
name: baseline1, hole_card: ['HK', 'C8']
name: b10505057, hole_card: ['D2', 'C4']
name: baseline1, hole_card: ['HK', 'C8']
community cards of this round: ['SK', 'S9', 'D8', 'S8', 'H4']
name: b10505057, hole_card: ['C9', 'CT']
name: baseline1, hole_card: ['C2', 'S3']
name: b10505057, hole_card: ['C9', 'CT']
name: baseline1, hole_card: ['C2', 'S3']
name: b10505057, hole_card: ['C9', 'CT']
name: baseline1, hole_card: ['C2', 'S3']
community cards of this round: ['DK', 'HA', 'ST', 'H5', 'D8']
name: b10505057, hole_card: ['C4', 'D6']
name: baseline1, hole_card: ['D7', 'D4']
name: b10505057, hole_card: ['C4', 'D6']
name: baseline1, hole_card: ['D7', 'D4']
community cards of this round: ['DJ', 'DQ', 'H3', 'DT', 'D8']
name: b10505057, hole_card: ['C7', 'HJ']
name: baseline1, hole_card: ['C5', 'C8']
name: b10505057, hole_card: ['C7', 'HJ']
name: baseline1, hole_card: ['C5', 'C8']
name: b10505057, hole_card: ['C7', 'HJ']
name: baseline1, hole_card: ['C5', 'C8']
community cards of this round: ['C3', 'DK', 'ST', 'D8', 'C2']
name: b10505057, hole_card: ['DQ', 'D4']
name: baseline1, hole_card: ['S6', 'C9']
name: b10505057, hole_card: ['DQ', 'D4']
name: baseline1, hole_card: ['S6', 'C9']
community cards of this round: ['HA', 'HJ', 'HT', 'D7', 'D2']
name: b10505057, hole_card: ['C7', 'SJ']
name: baseline1, hole_card: ['CQ', 'HQ']
name: b10505057, hole_card: ['C7', 'SJ']
name: baseline1, hole_card: ['CQ', 'HQ']
name: b10505057, hole_card: ['C7', 'SJ']
name: baseline1, hole_card: ['CQ', 'HQ']
community cards of this round: ['D6', 'C6', 'ST', 'S8', 'SA']
name: b10505057, hole_card: ['S4', 'D2']
name: baseline1, hole_card: ['CJ', 'CT']
name: b10505057, hole_card: ['S4', 'D2']
name: baseline1, hole_card: ['CJ', 'CT']
community cards of this round: ['D7', 'H5', 'S5', 'C8', 'SJ']
name: b10505057, hole_card: ['D8', 'H2']
name: baseline1, hole_card: ['C9', 'HA']
name: b10505057, hole_card: ['D8', 'H2']
name: baseline1, hole_card: ['C9', 'HA']
name: b10505057, hole_card: ['D8', 'H2']
name: baseline1, hole_card: ['C9', 'HA']
community cards of this round: ['S5', 'D7', 'H6', 'S2', 'SQ']
name: b10505057, hole_card: ['H2', 'S6']
name: baseline1, hole_card: ['D4', 'ST']
name: b10505057, hole_card: ['H2', 'S6']
name: baseline1, hole_card: ['D4', 'ST']
community cards of this round: ['D8', 'C2', 'HK', 'D7', 'H5']
name: b10505057, hole_card: ['S7', 'SK']
name: baseline1, hole_card: ['DT', 'CA']
name: b10505057, hole_card: ['S7', 'SK']
name: baseline1, hole_card: ['DT', 'CA']
name: b10505057, hole_card: ['S7', 'SK']
name: baseline1, hole_card: ['DT', 'CA']
community cards of this round: ['CA', 'H5', 'D4', 'C7', 'S4']
name: b10505057, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['HT', 'SK']
name: b10505057, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['HT', 'SK']
community cards of this round: ['HA', 'C4', 'HJ', 'H9', 'D6']
name: b10505057, hole_card: ['D2', 'DA']
name: baseline1, hole_card: ['CQ', 'S9']
name: b10505057, hole_card: ['D2', 'DA']
name: baseline1, hole_card: ['CQ', 'S9']
name: b10505057, hole_card: ['D2', 'DA']
name: baseline1, hole_card: ['CQ', 'S9']
community cards of this round: ['D5', 'H9', 'CT', 'C4', 'DT']
name: b10505057, hole_card: ['DQ', 'C5']
name: baseline1, hole_card: ['S2', 'DK']
name: b10505057, hole_card: ['DQ', 'C5']
name: baseline1, hole_card: ['S2', 'DK']
community cards of this round: ['S5', 'H3', 'D8', 'DT', 'CA']
name: b10505057, hole_card: ['DA', 'CJ']
name: baseline1, hole_card: ['D4', 'H9']
name: b10505057, hole_card: ['DA', 'CJ']
name: baseline1, hole_card: ['D4', 'H9']
name: b10505057, hole_card: ['DA', 'CJ']
name: baseline1, hole_card: ['D4', 'H9']
community cards of this round: ['D9', 'C2', 'DJ', 'H9', 'S2']
name: b10505057, hole_card: ['SA', 'HJ']
name: baseline1, hole_card: ['CA', 'H5']
name: b10505057, hole_card: ['SA', 'HJ']
name: baseline1, hole_card: ['CA', 'H5']
community cards of this round: ['S8', 'D4', 'H3', 'SQ', 'D9']
name: b10505057, hole_card: ['H9', 'DK']
name: baseline1, hole_card: ['S2', 'C3']
name: b10505057, hole_card: ['H9', 'DK']
name: baseline1, hole_card: ['S2', 'C3']
name: b10505057, hole_card: ['H9', 'DK']
name: baseline1, hole_card: ['S2', 'C3']
community cards of this round: ['D9', 'C2', 'C5', 'SJ', 'S2']
name: b10505057, hole_card: ['S5', 'H9']
name: baseline1, hole_card: ['CT', 'S8']
name: b10505057, hole_card: ['S5', 'H9']
name: baseline1, hole_card: ['CT', 'S8']
b10505057 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10505057', 'uuid': 'bsrjwtowwgetaehsypfzto', 'stack': 1011.0693665967183, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'jwnhgwqjxpsajfyyrtcbbo', 'stack': 988.0693665967182, 'state': 'participating'}]}
community cards of this round: ['H9', 'DK', 'C7', 'D3', 'HA']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10505057, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10505057, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10505057, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10505057, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10505057, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10505057, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10505057, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10505057, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['DJ', 'S6']
name: b10505057, hole_card: ['D5', 'DT']
community cards of this round: ['D6', 'ST', 'S2', 'CT', 'CJ']
name: baseline1, hole_card: ['C9', 'H7']
name: b10505057, hole_card: ['HK', 'S7']
name: baseline1, hole_card: ['C9', 'H7']
name: b10505057, hole_card: ['HK', 'S7']
name: baseline1, hole_card: ['C9', 'H7']
name: b10505057, hole_card: ['HK', 'S7']
name: baseline1, hole_card: ['C9', 'H7']
name: b10505057, hole_card: ['HK', 'S7']
name: baseline1, hole_card: ['C9', 'H7']
name: b10505057, hole_card: ['HK', 'S7']
name: baseline1, hole_card: ['C9', 'H7']
name: b10505057, hole_card: ['HK', 'S7']
name: baseline1, hole_card: ['C9', 'H7']
name: b10505057, hole_card: ['HK', 'S7']
name: baseline1, hole_card: ['C9', 'H7']
name: b10505057, hole_card: ['HK', 'S7']
community cards of this round: ['CA', 'DK', 'H7', 'DJ', 'C8']
name: baseline1, hole_card: ['SK', 'D7']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline1, hole_card: ['SK', 'D7']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline1, hole_card: ['SK', 'D7']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline1, hole_card: ['SK', 'D7']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline1, hole_card: ['SK', 'D7']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline1, hole_card: ['SK', 'D7']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline1, hole_card: ['SK', 'D7']
name: b10505057, hole_card: ['HK', 'D6']
community cards of this round: ['H6', 'CJ', 'C6', 'D6', 'DJ']
name: baseline1, hole_card: ['DA', 'DQ']
name: b10505057, hole_card: ['HJ', 'C5']
name: baseline1, hole_card: ['DA', 'DQ']
name: b10505057, hole_card: ['HJ', 'C5']
name: baseline1, hole_card: ['DA', 'DQ']
name: b10505057, hole_card: ['HJ', 'C5']
name: baseline1, hole_card: ['DA', 'DQ']
name: b10505057, hole_card: ['HJ', 'C5']
name: baseline1, hole_card: ['DA', 'DQ']
name: b10505057, hole_card: ['HJ', 'C5']
name: baseline1, hole_card: ['DA', 'DQ']
name: b10505057, hole_card: ['HJ', 'C5']
name: baseline1, hole_card: ['DA', 'DQ']
name: b10505057, hole_card: ['HJ', 'C5']
name: baseline1, hole_card: ['DA', 'DQ']
name: b10505057, hole_card: ['HJ', 'C5']
name: baseline1, hole_card: ['DA', 'DQ']
name: b10505057, hole_card: ['HJ', 'C5']
name: baseline1, hole_card: ['DA', 'DQ']
name: b10505057, hole_card: ['HJ', 'C5']
community cards of this round: ['D8', 'SK', 'S2', 'DT', 'S3']
name: baseline1, hole_card: ['DK', 'D6']
name: b10505057, hole_card: ['S4', 'H8']
name: baseline1, hole_card: ['DK', 'D6']
name: b10505057, hole_card: ['S4', 'H8']
community cards of this round: ['S9', 'C9', 'D9', 'CT', 'D4']
name: baseline1, hole_card: ['SJ', 'D7']
name: b10505057, hole_card: ['DA', 'H2']
name: baseline1, hole_card: ['SJ', 'D7']
name: b10505057, hole_card: ['DA', 'H2']
name: baseline1, hole_card: ['SJ', 'D7']
name: b10505057, hole_card: ['DA', 'H2']
name: baseline1, hole_card: ['SJ', 'D7']
name: b10505057, hole_card: ['DA', 'H2']
name: baseline1, hole_card: ['SJ', 'D7']
name: b10505057, hole_card: ['DA', 'H2']
name: baseline1, hole_card: ['SJ', 'D7']
name: b10505057, hole_card: ['DA', 'H2']
name: baseline1, hole_card: ['SJ', 'D7']
name: b10505057, hole_card: ['DA', 'H2']
name: baseline1, hole_card: ['SJ', 'D7']
name: b10505057, hole_card: ['DA', 'H2']
name: baseline1, hole_card: ['SJ', 'D7']
name: b10505057, hole_card: ['DA', 'H2']
community cards of this round: ['SA', 'CT', 'ST', 'S7', 'CA']
name: baseline1, hole_card: ['D7', 'DJ']
name: b10505057, hole_card: ['S8', 'C5']
name: baseline1, hole_card: ['D7', 'DJ']
name: b10505057, hole_card: ['S8', 'C5']
community cards of this round: ['SQ', 'HJ', 'C2', 'H7', 'H6']
name: baseline1, hole_card: ['D5', 'ST']
name: b10505057, hole_card: ['C5', 'H9']
name: baseline1, hole_card: ['D5', 'ST']
name: b10505057, hole_card: ['C5', 'H9']
name: baseline1, hole_card: ['D5', 'ST']
name: b10505057, hole_card: ['C5', 'H9']
name: baseline1, hole_card: ['D5', 'ST']
name: b10505057, hole_card: ['C5', 'H9']
name: baseline1, hole_card: ['D5', 'ST']
name: b10505057, hole_card: ['C5', 'H9']
name: baseline1, hole_card: ['D5', 'ST']
name: b10505057, hole_card: ['C5', 'H9']
name: baseline1, hole_card: ['D5', 'ST']
name: b10505057, hole_card: ['C5', 'H9']
name: baseline1, hole_card: ['D5', 'ST']
name: b10505057, hole_card: ['C5', 'H9']
community cards of this round: ['H3', 'S7', 'CT', 'C8', 'H5']
name: baseline1, hole_card: ['HJ', 'S4']
name: b10505057, hole_card: ['SJ', 'C4']
name: baseline1, hole_card: ['HJ', 'S4']
name: b10505057, hole_card: ['SJ', 'C4']
name: baseline1, hole_card: ['HJ', 'S4']
name: b10505057, hole_card: ['SJ', 'C4']
name: baseline1, hole_card: ['HJ', 'S4']
name: b10505057, hole_card: ['SJ', 'C4']
name: baseline1, hole_card: ['HJ', 'S4']
name: b10505057, hole_card: ['SJ', 'C4']
name: baseline1, hole_card: ['HJ', 'S4']
name: b10505057, hole_card: ['SJ', 'C4']
name: baseline1, hole_card: ['HJ', 'S4']
name: b10505057, hole_card: ['SJ', 'C4']
community cards of this round: ['S2', 'CK', 'C2', 'H2', 'SA']
name: baseline1, hole_card: ['CJ', 'CQ']
name: b10505057, hole_card: ['S8', 'HJ']
name: baseline1, hole_card: ['CJ', 'CQ']
name: b10505057, hole_card: ['S8', 'HJ']
name: baseline1, hole_card: ['CJ', 'CQ']
name: b10505057, hole_card: ['S8', 'HJ']
name: baseline1, hole_card: ['CJ', 'CQ']
name: b10505057, hole_card: ['S8', 'HJ']
name: baseline1, hole_card: ['CJ', 'CQ']
name: b10505057, hole_card: ['S8', 'HJ']
name: baseline1, hole_card: ['CJ', 'CQ']
name: b10505057, hole_card: ['S8', 'HJ']
name: baseline1, hole_card: ['CJ', 'CQ']
name: b10505057, hole_card: ['S8', 'HJ']
name: baseline1, hole_card: ['CJ', 'CQ']
name: b10505057, hole_card: ['S8', 'HJ']
name: baseline1, hole_card: ['CJ', 'CQ']
name: b10505057, hole_card: ['S8', 'HJ']
community cards of this round: ['C4', 'H5', 'HA', 'H2', 'SJ']
name: baseline1, hole_card: ['C8', 'S7']
name: b10505057, hole_card: ['CQ', 'H3']
name: baseline1, hole_card: ['C8', 'S7']
name: b10505057, hole_card: ['CQ', 'H3']
name: baseline1, hole_card: ['C8', 'S7']
name: b10505057, hole_card: ['CQ', 'H3']
name: baseline1, hole_card: ['C8', 'S7']
name: b10505057, hole_card: ['CQ', 'H3']
name: baseline1, hole_card: ['C8', 'S7']
name: b10505057, hole_card: ['CQ', 'H3']
name: baseline1, hole_card: ['C8', 'S7']
name: b10505057, hole_card: ['CQ', 'H3']
name: baseline1, hole_card: ['C8', 'S7']
name: b10505057, hole_card: ['CQ', 'H3']
community cards of this round: ['S2', 'S8', 'S6', 'CQ', 'HJ']
name: baseline1, hole_card: ['DJ', 'CA']
name: b10505057, hole_card: ['C5', 'S9']
name: baseline1, hole_card: ['DJ', 'CA']
name: b10505057, hole_card: ['C5', 'S9']
name: baseline1, hole_card: ['DJ', 'CA']
name: b10505057, hole_card: ['C5', 'S9']
name: baseline1, hole_card: ['DJ', 'CA']
name: b10505057, hole_card: ['C5', 'S9']
name: baseline1, hole_card: ['DJ', 'CA']
name: b10505057, hole_card: ['C5', 'S9']
name: baseline1, hole_card: ['DJ', 'CA']
name: b10505057, hole_card: ['C5', 'S9']
name: baseline1, hole_card: ['DJ', 'CA']
name: b10505057, hole_card: ['C5', 'S9']
name: baseline1, hole_card: ['DJ', 'CA']
name: b10505057, hole_card: ['C5', 'S9']
name: baseline1, hole_card: ['DJ', 'CA']
name: b10505057, hole_card: ['C5', 'S9']
